"###CPU-memory-bandwidth-and-sessions-rate-chart###"
"ID","epoch_time","% CPU","% Memory","setuprate","totalsession","bandwidth"
" 96 ","2025-01-06 10:17:56","0","50","0","6","0/0"
" 97 ","2025-01-06 10:22:55","0","50","0","9","0/0"
" 98 ","2025-01-06 10:27:55","0","51","0","5","0/0"
" 99 ","2025-01-08 10:00:32","36","35","0","1","0/0"
" 100 ","2025-01-08 10:05:29","0","50","0","7","1/0"
" 101 ","2025-01-08 10:10:29","1","50","0","7","105/15"
" 102 ","2025-01-08 10:15:29","0","51","0","90","31/29"
" 103 ","2025-01-08 10:20:29","0","51","0","13","33/29"
" 104 ","2025-01-08 10:25:29","0","54","0","13","4/2"
" 105 ","2025-01-08 10:30:29","0","54","0","8","2/2"
" 106 ","2025-01-08 10:35:28","0","53","0","8","5/2"
" 107 ","2025-01-08 10:40:29","0","53","0","8","3/1"
" 108 ","2025-01-08 10:45:29","0","53","0","7","2/1"
" 109 ","2025-01-08 10:50:29","0","53","0","10","2/0"
" 110 ","2025-01-08 10:55:29","0","53","0","7","2/0"
" 111 ","2025-01-08 11:00:29","0","53","0","9","29/27"
" 112 ","2025-01-12 01:47:31","38","35","0","0","0/0"
" 113 ","2025-01-12 01:52:27","0","51","0","152","31/29"
" 114 ","2025-01-12 01:57:27","0","54","0","24","4/2"
" 115 ","2025-01-12 02:02:27","0","50","0","26","4/2"
" 116 ","2025-01-12 02:07:27","0","51","0","23","237/231"
" 117 ","2025-01-12 02:12:27","0","54","0","24","4/2"
" 118 ","2025-01-12 02:17:27","0","55","0","19","9/8"
" 119 ","2025-01-12 02:22:27","0","57","0","20","36/32"
" 120 ","2025-01-12 02:27:27","0","55","0","19","1/0"
" 121 ","2025-01-12 02:32:28","0","54","1","21","24/22"
" 122 ","2025-01-12 02:37:28","0","54","0","27","38/34"
" 123 ","2025-01-12 02:42:28","0","54","1","111","20/10"
" 124 ","2025-01-12 02:47:28","0","54","0","141","0/0"
" 125 ","2025-01-12 02:52:28","3","56","0","24","3/2"
" 126 ","2025-01-12 02:57:28","0","55","0","106","0/0"
" 127 ","2025-01-12 03:02:27","0","55","0","29","2/1"
" 128 ","2025-01-12 03:07:27","0","55","0","24","1/6"
" 129 ","2025-01-12 03:12:27","0","55","0","25","1/1"
" 130 ","2025-01-12 03:17:27","0","55","0","24","1/1"
" 131 ","2025-01-12 03:22:27","0","55","0","24","1/0"
" 132 ","2025-01-12 03:27:27","0","55","0","23","1/1"
" 133 ","2025-01-12 03:32:27","0","55","1","25","8/8"
" 134 ","2025-01-12 03:37:27","0","55","2","27","9/9"
" 135 ","2025-01-12 03:42:27","0","55","1","27","9/9"
" 136 ","2025-01-12 03:47:27","0","55","1","25","8/8"
" 137 ","2025-01-12 03:52:27","0","55","2","22","9/9"
" 138 ","2025-01-12 03:57:27","0","55","1","24","9/9"
" 139 ","2025-01-12 04:02:27","0","55","0","26","0/0"
" 140 ","2025-01-12 04:07:27","0","55","0","18","0/0"
" 141 ","2025-01-12 04:12:27","0","55","0","24","0/0"
" 142 ","2025-01-12 04:17:28","0","55","0","20","0/0"
" 143 ","2025-01-12 04:22:28","0","55","0","17","0/0"
" 144 ","2025-01-12 04:27:28","0","55","0","19","0/0"
" 145 ","2025-01-12 04:32:27","0","55","0","20","0/0"
" 146 ","2025-01-12 04:37:27","0","55","0","24","0/0"
" 147 ","2025-01-12 04:42:27","0","55","0","22","0/0"
" 148 ","2025-01-12 04:47:27","0","55","0","22","0/0"
" 149 ","2025-01-12 04:52:27","0","55","0","20","0/0"
" 150 ","2025-01-12 04:57:27","0","55","0","21","0/0"
" 151 ","2025-01-12 05:02:28","0","55","2","24","1/1"
" 152 ","2025-01-12 05:07:27","0","55","1","21","0/0"
" 153 ","2025-01-12 05:12:27","0","55","1","25","0/0"
" 154 ","2025-01-12 05:17:27","0","55","1","19","0/0"
" 155 ","2025-01-12 05:22:27","0","55","1","22","0/0"
" 156 ","2025-01-12 05:27:27","0","55","1","20","0/0"
" 157 ","2025-01-12 05:32:28","0","55","1","18","0/0"
" 158 ","2025-01-12 05:37:28","0","55","1","25","0/0"
" 159 ","2025-01-12 05:42:27","0","55","1","17","0/0"
" 160 ","2025-01-12 05:47:27","0","55","1","17","0/0"
" 161 ","2025-01-12 05:52:27","0","55","1","21","0/0"
" 162 ","2025-01-12 05:57:27","0","55","1","21","0/0"
" 163 ","2025-01-12 06:02:27","0","55","1","25","0/0"
" 164 ","2025-01-12 06:07:27","4","55","1","24","61/77"
" 165 ","2025-01-12 06:12:28","0","55","0","21","2/0"
" 166 ","2025-01-12 06:17:28","0","55","0","20","0/0"
" 167 ","2025-01-12 06:22:27","0","55","0","20","0/0"
" 168 ","2025-01-12 06:27:27","0","55","0","21","2/0"
" 169 ","2025-01-12 06:32:27","0","55","0","19","0/0"
" 170 ","2025-01-12 06:37:27","0","55","0","18","0/0"
" 171 ","2025-01-12 06:42:27","0","55","0","15","0/0"
" 172 ","2025-01-12 06:47:27","0","55","0","16","0/0"
" 173 ","2025-01-12 06:52:28","0","55","1","15","53/50"
" 174 ","2025-01-12 06:57:27","0","55","0","18","0/0"
" 175 ","2025-01-12 07:02:27","0","55","0","23","985/973"
" 176 ","2025-01-12 07:07:27","0","55","0","16","0/0"
" 177 ","2025-01-12 07:12:27","0","55","0","20","0/0"
" 178 ","2025-01-12 07:17:27","0","55","0","17","1/1"
" 179 ","2025-01-12 07:22:27","0","55","0","14","2/1"
" 180 ","2025-01-12 07:27:27","0","55","0","18","2/1"
" 181 ","2025-01-12 07:32:27","0","55","0","18","0/1"
" 182 ","2025-01-12 07:37:28","0","55","0","21","0/1"
" 183 ","2025-01-12 07:42:27","0","55","0","19","0/1"
" 184 ","2025-01-12 07:47:28","0","55","0","15","3/1"
" 185 ","2025-01-12 07:52:28","0","56","0","17","1/1"
" 186 ","2025-01-12 07:57:28","0","56","0","19","1/1"
" 187 ","2025-01-12 08:02:27","0","56","0","23","26/23"
" 188 ","2025-01-12 08:07:27","2","57","1","19","24/14"
" 189 ","2025-01-12 08:12:27","0","56","1","23","34/31"
" 190 ","2025-01-12 08:17:27","0","56","2","19","20/16"
" 191 ","2025-01-12 08:22:27","0","56","0","16","3/1"
" 192 ","2025-01-12 08:27:28","0","56","0","15","37/28"
" 193 ","2025-01-12 08:32:28","0","56","0","17","25/24"
" 194 ","2025-01-12 08:37:28","0","56","0","20","31/28"
" 195 ","2025-01-12 08:42:27","0","56","1","20","11/9"
" 196 ","2025-01-12 08:47:28","6","56","2","16","34/26"
" 197 ","2025-01-12 08:52:28","0","56","0","17","2/1"
" 198 ","2025-01-12 08:57:28","0","56","0","18","28/24"
" 199 ","2025-01-12 09:02:28","0","56","1","24","12/10"
" 200 ","2025-01-12 09:07:28","0","56","0","23","393/386"
" 201 ","2025-01-12 09:12:28","0","56","0","21","3/1"
" 202 ","2025-01-12 09:17:28","0","56","0","21","3/1"
" 203 ","2025-01-12 09:22:28","0","56","0","18","27/24"
" 204 ","2025-01-12 09:27:28","0","56","2","23","25/29"
" 205 ","2025-01-12 09:32:28","0","56","2","22","31/27"
" 206 ","2025-01-12 09:37:28","0","56","0","25","32/28"
" 207 ","2025-01-12 09:42:28","0","56","0","22","5/3"
" 208 ","2025-01-12 09:47:28","0","57","0","21","2/2"
" 209 ","2025-01-12 09:52:28","0","56","1","25","29/28"
" 210 ","2025-01-12 09:57:27","0","56","0","20","0/0"
" 211 ","2025-01-12 10:02:27","0","56","0","24","0/0"
" 212 ","2025-01-12 10:07:27","0","56","0","22","29/28"
" 213 ","2025-01-12 10:12:27","0","57","2","26","0/0"
" 214 ","2025-01-12 10:17:27","14","57","2","29","128/160"
" 215 ","2025-01-12 10:22:27","0","56","1","24","0/1"
" 216 ","2025-01-12 10:27:27","0","57","1","27","3072/3036"
" 217 ","2025-01-12 10:32:28","0","57","2","22","0/0"
" 218 ","2025-01-12 10:37:28","24","58","1","26","3173/90"
" 219 ","2025-01-12 10:42:28","0","56","0","22","28/25"
" 220 ","2025-01-12 10:47:28","0","57","0","20","36/29"
" 221 ","2025-01-12 10:52:28","0","57","0","21","4/2"
" 222 ","2025-01-12 10:57:28","0","57","0","21","4/2"
" 223 ","2025-01-12 11:02:28","0","56","0","25","4/2"
" 224 ","2025-01-12 11:07:28","0","57","0","18","2/0"
" 225 ","2025-01-12 11:12:28","0","56","0","23","0/0"
" 226 ","2025-01-12 11:17:27","0","57","1","20","1/0"
" 227 ","2025-01-12 11:22:27","0","57","0","21","3/0"
" 228 ","2025-01-12 11:27:27","0","57","1","20","2/0"
" 229 ","2025-01-12 11:32:27","0","57","0","18","2/0"
" 230 ","2025-01-12 11:37:27","0","57","0","23","0/0"
" 231 ","2025-01-12 11:42:28","0","56","0","20","2/0"
" 232 ","2025-01-12 11:47:28","0","57","0","18","3/0"

